DATE,CSUSHPISA,Year,Month,UNRATE,FedFunds,Per_Capita_GDP,CPI,PopulationGrowthRate
1987-01-01,63.964,1987.0,1.0,6.6,6.43,4722.156,111.4,0.893829201032046
1988-01-01,68.858,1988.0,1.0,5.7,6.83,5073.372,116.0,0.907999040167679
1989-01-01,73.946,1989.0,1.0,5.4,9.12,5511.253,121.2,0.944405555428529
1990-01-01,76.89699999999999,1990.0,1.0,5.4,8.23,5872.701,127.5,1.12965052045579
1991-01-01,75.915,1991.0,1.0,6.4,6.91,6035.178,134.7,1.33626074073779
1992-01-01,76.086,1992.0,1.0,7.3,4.03,6363.102,138.3,1.38688569247935
1993-01-01,76.783,1993.0,1.0,7.3,3.02,6729.459,142.8,1.31867999977741
1994-01-01,78.59,1994.0,1.0,6.6,3.05,7115.652,146.3,1.2262960888682
1995-01-01,80.426,1995.0,1.0,5.6,5.53,7522.289,150.5,1.19078709090209
1996-01-01,81.833,1996.0,1.0,5.6,5.56,7868.468,154.7,1.16341161998189
1997-01-01,83.954,1997.0,1.0,5.3,5.25,8362.655,159.4,1.20396029701272
1998-01-01,87.61399999999999,1998.0,1.0,4.6,5.56,8866.48,162.0,1.16571452642589
1999-01-01,93.207,1999.0,1.0,4.3,4.63,9411.682,164.7,1.14834004729055
2000-01-01,100.551,2000.0,1.0,4.0,5.45,10002.179,169.3,1.11276899679534
2001-01-01,109.846,2001.0,1.0,4.2,5.98,10470.231,175.6,0.989741382223669
2002-01-01,117.143,2002.0,1.0,5.7,1.73,10783.5,177.7,0.927797485710314
2003-01-01,128.461,2003.0,1.0,5.8,1.24,11174.129,182.6,0.859481712840946
2004-01-01,141.64600000000002,2004.0,1.0,5.7,1.0,11923.447,186.3,0.925483968943482
2005-01-01,161.28799999999998,2005.0,1.0,5.3,2.28,12767.286,191.6,0.921713167161207
2006-01-01,182.321,2006.0,1.0,4.7,4.29,13599.16,199.3,0.964253917136075
2007-01-01,184.517,2007.0,1.0,4.6,5.25,14215.651,203.437,0.951055242772428
2008-01-01,173.132,2008.0,1.0,5.0,3.94,14706.538,212.174,0.945865287282592
2009-01-01,151.507,2009.0,1.0,7.8,0.15,14430.902,211.933,0.876651298802912
2010-01-01,147.39600000000002,2010.0,1.0,9.8,0.11,14764.61,217.488,0.829616674709795
2011-01-01,141.52100000000002,2011.0,1.0,9.1,0.17,15351.448,221.187,0.726786704810745
2012-01-01,136.607,2012.0,1.0,8.3,0.08,16068.805,227.842,0.733599941250847
2013-01-01,146.827,2013.0,1.0,8.0,0.14,16648.189,231.679,0.692860276624581
2014-01-01,161.92700000000002,2014.0,1.0,6.6,0.07,17197.738,235.288,0.733361519937424
2015-01-01,168.634,2015.0,1.0,5.7,0.11,18063.529,234.747,0.73621730882542
2016-01-01,177.273,2016.0,1.0,4.8,0.34,18525.933,237.652,0.724676067451429
2017-01-01,186.801,2017.0,1.0,4.7,0.65,19280.084,243.618,0.63264399508256
2018-01-01,198.303,2018.0,1.0,4.0,1.41,20328.553,248.859,0.526435395564053
2019-01-01,206.517,2019.0,1.0,4.0,2.4,21104.133,252.718,0.455381285963537
2020-01-01,214.954,2020.0,1.0,3.5,1.55,21706.513,259.037,0.964347900193196
2021-01-01,239.497,2021.0,1.0,6.3,0.09,22600.185,262.65,0.156747054750178
2022-01-01,285.829,2022.0,1.0,4.0,0.08,25029.116,282.599,0.377564531459432
